Position = 0306, Accumulator = 0.000000e+00, Counter = 0
Position = 0307, Accumulator = 0.000000e+00, Counter = 0
Position = 0308, Accumulator = 0.000000e+00, Counter = 1
Position = 0309, Accumulator = 0.000000e+00, Counter = 0
Position = 0310, Accumulator = 0.000000e+00, Counter = 0
Position = 0311, Accumulator = 0.000000e+00, Counter = 0
Position = 0312, Accumulator = 0.000000e+00, Counter = 0
Position = 0313, Accumulator = 0.000000e+00, Counter = 2
Position = 0314, Accumulator = 0.000000e+00, Counter = 1
Position = 0315, Accumulator = 0.000000e+00, Counter = 0
Position = 0316, Accumulator = 0.000000e+00, Counter = 0
Position = 0317, Accumulator = 0.000000e+00, Counter = 1
Position = 0318, Accumulator = 0.000000e+00, Counter = 0
Position = 0319, Accumulator = 0.000000e+00, Counter = 0
Position = 0320, Accumulator = 0.000000e+00, Counter = 0
Position = 0321, Accumulator = 0.000000e+00, Counter = 2
Position = 0322, Accumulator = 0.000000e+00, Counter = 1
Position = 0323, Accumulator = 0.000000e+00, Counter = 0
Position = 0324, Accumulator = 0.000000e+00, Counter = 0
Position = 0325, Accumulator = 0.000000e+00, Counter = 2
Position = 0326, Accumulator = 0.000000e+00, Counter = 0
Position = 0327, Accumulator = 0.000000e+00, Counter = 0
Position = 0328, Accumulator = 0.000000e+00, Counter = 0
Position = 0329, Accumulator = 0.000000e+00, Counter = 1
Position = 0330, Accumulator = 0.000000e+00, Counter = 0
Position = 0331, Accumulator = 0.000000e+00, Counter = 0
Position = 0332, Accumulator = 0.000000e+00, Counter = 0
Position = 0333, Accumulator = 0.000000e+00, Counter = 2
Position = 0334, Accumulator = 0.000000e+00, Counter = 2
Position = 0335, Accumulator = 0.000000e+00, Counter = 2
Position = 0336, Accumulator = 0.000000e+00, Counter = 0
Position = 0337, Accumulator = 0.000000e+00, Counter = 0
Position = 0338, Accumulator = 0.000000e+00, Counter = 1
Position = 0339, Accumulator = 0.000000e+00, Counter = 0
Position = 0340, Accumulator = 0.000000e+00, Counter = 2
Position = 0341, Accumulator = 0.000000e+00, Counter = 0
Position = 0342, Accumulator = 0.000000e+00, Counter = 0
Position = 0343, Accumulator = 0.000000e+00, Counter = 2
Position = 0344, Accumulator = 0.000000e+00, Counter = 0
Position = 0345, Accumulator = 0.000000e+00, Counter = 0
